15 15
0.0109491 0.000147576 0.988903
0.00311736 5.08953e-005 0.996832
0.000564659 1.18245e-005 0.999424
5.49108e-005 1.62864e-006 0.999943
2.24698e-006 1.11551e-007 0.999998
3.09382e-008 3.26392e-009 1
2.55288e-010 7.51019e-011 1
1.69748e-011 1.6975e-011 1
7.51054e-011 2.55297e-010 1
3.26538e-009 3.09425e-008 1
1.11907e-007 2.24845e-006 0.999998
1.6571e-006 5.50836e-005 0.999943
1.26413e-005 0.0005719 0.999415
6.09933e-005 0.00324444 0.996695
0.000214395 0.0120465 0.987744
0.0227379 0.00025837 0.977004
0.00736296 0.000101935 0.992535
0.00157816 2.81977e-005 0.998394
0.000193698 4.95323e-006 0.999801
1.12714e-005 4.91202e-007 0.999988
2.74705e-007 2.62083e-008 1
4.88162e-009 1.35792e-009 1
4.87398e-010 4.87406e-010 1
1.35793e-009 4.88176e-009 1
2.62143e-008 2.7473e-007 1
4.92193e-007 1.12759e-005 0.999988
5.01259e-006 0.000194075 0.999801
2.95965e-005 0.00159102 0.998379
0.00011695 0.0075593 0.992324
0.000343439 0.0242697 0.975388
0.0509471 0.000501452 0.948552
0.0199443 0.000245249 0.97981
0.00557417 9.11894e-005 0.994335
0.00101585 2.46112e-005 0.99896
0.000111426 4.75665e-006 0.999884
7.64818e-006 7.32998e-007 0.999992
5.23644e-007 1.47393e-007 0.999999
1.07988e-007 1.07993e-007 1
1.47388e-007 5.23669e-007 0.999999
7.33101e-007 7.64898e-006 0.999992
4.76452e-006 0.000111469 0.999884
2.48513e-005 0.00101749 0.998958
9.47464e-005 0.00560823 0.994297
0.000272889 0.0203206 0.979406
0.000626408 0.0533037 0.946071
0.114564 0.000985437 0.884451
0.0556897 0.000626251 0.943684
0.0209871 0.000331277 0.978682
0.00586531 0.000144922 0.99399
0.00120632 5.49396e-005 0.998739
0.000201575 2.09922e-005 0.999777
3.73603e-005 1.11641e-005 0.999951
1.27491e-005 1.27506e-005 0.999975
1.11626e-005 3.73645e-005 0.999951
2.09927e-005 0.000201613 0.999777
5.50231e-005 0.00120693 0.998738
0.000146173 0.00587487 0.993979
0.000341781 0.0210941 0.978564
0.000680021 0.0564585 0.942862
0.00116546 0.118142 0.880693
0.239649 0.00176236 0.758589
0.143959 0.00147406 0.854567
0.0719107 0.00111125 0.926978
0.0292559 0.000759764 0.969984
0.00984961 0.000496749 0.989654
0.00299111 0.000349623 0.996659
0.000982351 0.000317255 0.9987
0.000441804 0.000441946 0.999116
0.000317126 0.000982634 0.9987
0.000349525 0.00299223 0.996658
0.00049732 0.00985683 0.989646
0.00076518 0.029307 0.969928
0.00113815 0.0722178 0.926644
0.00156417 0.145352 0.853084
0.00198184 0.244331 0.753687
0.437395 0.00257468 0.560031
0.316103 0.00280293 0.681094
0.200477 0.00293177 0.796592
0.109928 0.00293875 0.887133
0.0527899 0.00291003 0.9443
0.0234795 0.00305036 0.97347
0.0107044 0.00371217 0.985583
0.005634 0.00563837 0.988728
0.00370845 0.0107113 0.98558
0.00304712 0.0234958 0.973457
0.00290982 0.0528421 0.944248
0.00295059 0.110117 0.886933
0.00297513 0.201116 0.795909
0.00290583 0.31797 0.679125
0.00276414 0.441966 0.55527
0.670104 0.00278738 0.327108
0.55986 0.00386305 0.436277
0.428036 0.00543115 0.566532
0.294337 0.00756221 0.6981
0.182127 0.0103989 0.807474
0.104241 0.0144681 0.881291
0.058207 0.0212073 0.920586
0.0337289 0.0337814 0.93249
0.0211628 0.0582768 0.92056
0.01443 0.10435 0.88122
0.0103716 0.182329 0.807299
0.00755457 0.294743 0.697702
0.00545199 0.428856 0.565692
0.00391753 0.561443 0.43464
0.00287705 0.673 0.324123
0.860192 0.00206325 0.137745
0.793377 0.0035613 0.203062
0.693123 0.00659153 0.300285
0.562031 0.0123886 0.425581
0.417623 0.022697 0.55968
0.28522 0.0399133 0.674867
0.182529 0.0677992 0.749672
0.112295 0.112588 0.775117
0.0675482 0.18286 0.749592
0.0397128 0.285592 0.674695
0.0225535 0.418044 0.559402
0.0123003 0.56252 0.42518
0.00654734 0.693713 0.29974
0.00354715 0.794132 0.202321
0.00206853 0.861244 0.136688
0.961194 0.000978137 0.0378278
0.935892 0.00207866 0.062029
0.887241 0.00507755 0.107682
0.803463 0.0129325 0.183605
0.679934 0.0314964 0.288569
0.528023 0.0695093 0.402468
0.37237 0.136319 0.491311
0.237165 0.238051 0.524784
0.135562 0.373245 0.491194
0.0689664 0.528758 0.402276
0.0311708 0.680472 0.288357
0.0127661 0.803824 0.18341
0.00500148 0.887488 0.107511
0.0020452 0.936088 0.0618668
0.000963102 0.961395 0.0376421
0.993728 0.00027831 0.00599322
0.988144 0.000735746 0.0111199
0.973557 0.00247159 0.0239711
0.938294 0.00892557 0.0527801
0.864139 0.0298689 0.105992
0.735235 0.0843916 0.180374
0.555741 0.193708 0.250551
0.359227 0.360914 0.279859
0.1923 0.557238 0.250462
0.0835164 0.736222 0.180262
0.0294565 0.864633 0.10591
0.00877094 0.938495 0.052734
0.00242068 0.973633 0.0239466
0.000718641 0.988177 0.0111045
0.000271402 0.99375 0.00597895
0.999497 4.30872e-005 0.000459676
0.99884 0.000148765 0.00101122
